"","ensembl_id","gene_name"
"202","ENSMUSG00000043015","Tmem194b"
"203","ENSMUSG00000041439","Mfsd6"
"204","ENSMUSG00000026102","Inpp1"
"205","ENSMUSG00000041426","Hibch"
"206","ENSMUSG00000043629","1700019D03Rik"
"207","ENSMUSG00000026100","Mstn"
"208","ENSMUSG00000060715","1700019A02Rik"
"209","ENSMUSG00000026098","Pms1"
"210","ENSMUSG00000026097","Ormdl1"
"211","ENSMUSG00000100679","Gm28778"
"212","ENSMUSG00000026096","Osgepl1"
"213","ENSMUSG00000099913","Gm28551"
"214","ENSMUSG00000026095","Asnsd1"
"215","ENSMUSG00000096141","Dnah7a"
"216","ENSMUSG00000026094","Stk17b"
"217","ENSMUSG00000042807","Hecw2"
"218","ENSMUSG00000025983","Ccdc150"
"219","ENSMUSG00000041303","Gtf3c3"
"220","ENSMUSG00000073678","Pgap1"
"221","ENSMUSG00000052331","Ankrd44"
"222","ENSMUSG00000025982","Sf3b1"
"223","ENSMUSG00000025981","Coq10b"
"224","ENSMUSG00000025980","Hspd1"
"225","ENSMUSG00000073676","Hspe1"
"226","ENSMUSG00000025979","Mob4"
"227","ENSMUSG00000025978","Rftn2"
"228","ENSMUSG00000046994","Mars2"
"229","ENSMUSG00000025977","Boll"
"230","ENSMUSG00000038349","Plcl1"
"231","ENSMUSG00000045336","Hsfy2"
"232","ENSMUSG00000038331","Satb2"
"233","ENSMUSG00000038323","1700066M21Rik"
"234","ENSMUSG00000048495","Tyw5"
"235","ENSMUSG00000025971","9430016H08Rik"
"236","ENSMUSG00000038305","Spats2l"
"237","ENSMUSG00000054770","Kctd18"
"238","ENSMUSG00000026039","Sgol2a"
"239","ENSMUSG00000063558","Aox1"
"240","ENSMUSG00000064294","Aox3"
"241","ENSMUSG00000038242","Aox4"
"242","ENSMUSG00000079554","Aox2"
"243","ENSMUSG00000051223","Bzw1"
"244","ENSMUSG00000026034","Clk1"
"245","ENSMUSG00000026035","Ppil3"
"246","ENSMUSG00000026036","Nif3l1"
"247","ENSMUSG00000026037","Orc2"
